block_height,token_denom,token_amount,weight,token_denom,token_amount,weight
8274600,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512381430158,536870912000000,uosmo,33702077281005,536870912000000
8274601,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512381430158,536870912000000,uosmo,33702077281005,536870912000000
8274602,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512376139421,536870912000000,uosmo,33702148394726,536870912000000
8274603,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512381430158,536870912000000,uosmo,33702077281005,536870912000000
8274604,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512381430158,536870912000000,uosmo,33702077281005,536870912000000
8274605,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512334029120,536870912000000,uosmo,33702715331367,536870912000000
8274606,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512376328983,536870912000000,uosmo,33702145859116,536870912000000
8274607,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512376328983,536870912000000,uosmo,33702145859116,536870912000000
8274608,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512381042383,536870912000000,uosmo,33702082493204,536870912000000
8274609,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512381430158,536870912000000,uosmo,33702077281005,536870912000000
8274610,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2512381430158,536870912000000,uosmo,33702077281005,536870912000000
